date,running_date,month,year,CO2ppm
8/13/17,1,aug,2017,405.2
8/14/17,2,aug,2017,405.2
8/15/17,3,aug,2017,405.2
8/16/17,4,aug,2017,405.2
8/17/17,5,aug,2017,405.2
8/18/17,6,aug,2017,405.2
8/19/17,7,aug,2017,405.2
8/20/17,8,aug,2017,404.54
8/21/17,9,aug,2017,404.54
8/22/17,10,aug,2017,404.54
8/23/17,11,aug,2017,404.54
8/24/17,12,aug,2017,404.54
8/25/17,13,aug,2017,404.54
8/26/17,14,aug,2017,404.54
8/27/17,15,aug,2017,404.23
8/28/17,16,aug,2017,404.23
8/29/17,17,aug,2017,404.23
8/30/17,18,aug,2017,404.23
8/31/17,19,aug,2017,404.23
9/1/17,20,sep,2017,404.23
9/2/17,21,sep,2017,404.23
9/3/17,22,sep,2017,403.7
9/4/17,23,sep,2017,403.7
9/5/17,24,sep,2017,403.7
9/6/17,25,sep,2017,403.7
9/7/17,26,sep,2017,403.7
9/8/17,27,sep,2017,403.7
9/9/17,28,sep,2017,403.7
9/10/17,29,sep,2017,403.68
9/11/17,30,sep,2017,403.68
9/12/17,31,sep,2017,403.68
9/13/17,32,sep,2017,403.68
9/14/17,33,sep,2017,403.68
9/15/17,34,sep,2017,403.68
9/16/17,35,sep,2017,403.68
9/17/17,36,sep,2017,403.05
9/18/17,37,sep,2017,403.05
9/19/17,38,sep,2017,403.05
9/20/17,39,sep,2017,403.05
9/21/17,40,sep,2017,403.05
9/22/17,41,sep,2017,403.05
9/23/17,42,sep,2017,403.05
9/24/17,43,sep,2017,402.76
9/25/17,44,sep,2017,402.76
9/26/17,45,sep,2017,402.76
9/27/17,46,sep,2017,402.76
9/28/17,47,sep,2017,402.76
9/29/17,48,sep,2017,402.76
9/30/17,49,sep,2017,402.76
10/1/17,50,oct,2017,402.95
10/2/17,51,oct,2017,402.95
10/3/17,52,oct,2017,402.95
10/4/17,53,oct,2017,402.95
10/5/17,54,oct,2017,402.95
10/6/17,55,oct,2017,402.95
10/7/17,56,oct,2017,402.95
10/8/17,57,oct,2017,403.4
10/9/17,58,oct,2017,403.4
10/10/17,59,oct,2017,403.4
10/11/17,60,oct,2017,403.4
10/12/17,61,oct,2017,403.4
10/13/17,62,oct,2017,403.4
10/14/17,63,oct,2017,403.4
10/15/17,64,oct,2017,403.95
10/16/17,65,oct,2017,403.95
10/17/17,66,oct,2017,403.95
10/18/17,67,oct,2017,403.95
10/19/17,68,oct,2017,403.95
10/20/17,69,oct,2017,403.95
10/21/17,70,oct,2017,403.95
10/22/17,71,oct,2017,404
10/23/17,72,oct,2017,404
10/24/17,73,oct,2017,404
10/25/17,74,oct,2017,404
10/26/17,75,oct,2017,404
10/27/17,76,oct,2017,404
10/28/17,77,oct,2017,404
10/29/17,78,oct,2017,404.15
10/30/17,79,oct,2017,404.15
10/31/17,80,oct,2017,404.15
11/1/17,81,nov,2017,404.15
11/2/17,82,nov,2017,404.15
11/3/17,83,nov,2017,404.15
11/4/17,84,nov,2017,404.15
11/5/17,85,nov,2017,404.25
11/6/17,86,nov,2017,404.25
11/7/17,87,nov,2017,404.25
11/8/17,88,nov,2017,404.25
11/9/17,89,nov,2017,404.25
11/10/17,90,nov,2017,404.25
11/11/17,91,nov,2017,404.25
11/12/17,92,nov,2017,405.07
11/13/17,93,nov,2017,405.07
11/14/17,94,nov,2017,405.07
11/15/17,95,nov,2017,405.07
11/16/17,96,nov,2017,405.07
11/17/17,97,nov,2017,405.07
11/18/17,98,nov,2017,405.07
11/19/17,99,nov,2017,406.12
11/20/17,100,nov,2017,406.12
11/21/17,101,nov,2017,406.12
11/22/17,102,nov,2017,406.12
11/23/17,103,nov,2017,406.12
11/24/17,104,nov,2017,406.12
11/25/17,105,nov,2017,406.12
11/26/17,106,nov,2017,406.33
11/27/17,107,nov,2017,406.33
11/28/17,108,nov,2017,406.33
11/29/17,109,nov,2017,406.33
11/30/17,110,nov,2017,406.33
12/1/17,111,dec,2017,406.33
12/2/17,112,dec,2017,406.33
12/3/17,113,dec,2017,406.74
12/4/17,114,dec,2017,406.74
12/5/17,115,dec,2017,406.74
12/6/17,116,dec,2017,406.74
12/7/17,117,dec,2017,406.74
12/8/17,118,dec,2017,406.74
12/9/17,119,dec,2017,406.74
12/10/17,120,dec,2017,406.53
12/11/17,121,dec,2017,406.53
12/12/17,122,dec,2017,406.53
12/13/17,123,dec,2017,406.53
12/14/17,124,dec,2017,406.53
12/15/17,125,dec,2017,406.53
12/16/17,126,dec,2017,406.53
12/17/17,127,dec,2017,406.83
12/18/17,128,dec,2017,406.83
12/19/17,129,dec,2017,406.83
12/20/17,130,dec,2017,406.83
12/21/17,131,dec,2017,406.83
12/22/17,132,dec,2017,406.83
12/23/17,133,dec,2017,406.83
12/24/17,134,dec,2017,407.21
12/25/17,135,dec,2017,407.21
12/26/17,136,dec,2017,407.21
12/27/17,137,dec,2017,407.21
12/28/17,138,dec,2017,407.21
12/29/17,139,dec,2017,407.21
