year,region,harvest,anomaly
1700,alsace,42.9,-0.91
1701,alsace,35.9,-0.76
1702,alsace,45,-1.4
1703,alsace,49.4,-1.21
1704,alsace,30.4,-0.44
1705,alsace,46.9,-0.76
1706,alsace,38.7,-1.04
1707,alsace,44,-1.3
1708,alsace,32,-1.51
1709,alsace,29.9,-2.13
1710,alsace,37.9,-0.02
1711,alsace,39.4,-0.09
1712,alsace,37.9,-0.37
1713,alsace,44.9,-0.87
1714,alsace,47.9,-0.07
1715,alsace,36.4,-0.07
1716,alsace,44.9,-1.13
1717,alsace,42,-0.47
1718,alsace,21,-0.22
1719,alsace,40.7,-0.02
1720,alsace,40.7,-0.41
1721,alsace,44.4,-0.6
1722,alsace,37,0.79
1723,alsace,38.4,1.46
1724,alsace,39.7,-0.2
1725,alsace,53.9,-0.15
1726,alsace,32,-0.06
1727,alsace,35,0.79
1728,alsace,40,-0.31
1729,alsace,35.9,-0.45
1730,alsace,45.9,0.33
1731,alsace,46.9,-0.26
1732,alsace,36.9,-0.33
1733,alsace,43.4,0.61
1734,alsace,37.7,0.28
1735,alsace,47.9,0.46
1736,alsace,41.7,0.35
1737,alsace,34.7,0.32
1738,alsace,35,0.49
1739,alsace,33.7,-0.79
1740,alsace,49,-2.47
1741,alsace,45.9,-0.19
1742,alsace,52.9,-1.27
1743,alsace,45.4,0.52
1744,alsace,47.4,-0.59
1745,alsace,47.9,-0.78
1747,alsace,42.4,-0.18
1748,alsace,37.9,-0.36
1749,alsace,40.4,-0.13
1750,alsace,44,0.31
1751,alsace,50.9,-0.91
1752,alsace,48.9,0.14
1753,alsace,40,-0.89
1754,alsace,47,-0.87
1755,alsace,37.9,-0.83
1756,alsace,48.9,-0.29
1757,alsace,45.9,0.05
1758,alsace,48,-0.74
1759,alsace,38.3,0.32
1760,alsace,38.8,-0.21
1761,alsace,37.4,0.65
1762,alsace,32.9,0.12
1763,alsace,45.8,-0.15
1764,alsace,38.4,0.4
1765,alsace,45.8,-0.03
1766,alsace,45.9,0.24
1767,alsace,53.3,-0.43
