plant,species,ontogeny,total,heteroblasty,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
Pact1,actinia,1,17,17,1.939414673,414.8129126,-7.047279306,385.7199151,28.42968486,371.1159216,65.72698576,378.318652,99.22732382,400.9441396,88.46746301,424.7589363,-497.0085259,88.91310279,-517.0578063,12.92080613,-543.0850786,-334.1821636,-531.7777331,-410.5813788,-108.8317339,-1510.662028,563.2528071,-424.176777,570.6697935,-326.4976726,405.3451493,249.3861711,381.7495352,279.2094625
Pact1,actinia,2,17,16,-27.97209458,433.1547459,-27.12705075,417.9535213,-17.13848228,393.2132413,21.43898324,394.7337589,42.80025589,410.6317217,33.87918958,430.6784151,-461.4701745,205.2228763,-506.6244093,168.8004375,-563.7948964,-435.0343735,-543.7188397,-479.8425374,28.71384474,-1468.443026,525.0226931,-425.3784299,538.4268855,-343.9006761,489.936964,124.3401895,467.6271314,173.8701354
Pact1,actinia,3,17,15,-43.24281612,430.0539132,-39.27793626,409.9767807,-34.23916123,376.4680732,4.770596355,377.6318814,19.75840721,394.2353601,14.30790369,418.9804355,-472.8314636,200.2499954,-500.030931,149.1734791,-568.3020102,-330.3718896,-555.2933442,-405.3800261,120.6986954,-1462.301694,546.6947064,-517.9105911,557.7274213,-406.2831385,488.9110006,155.3395179,460.3489317,210.1379026
Pact1,actinia,4,17,14,-36.08250899,416.832663,-30.52720293,394.2362168,-19.82932433,359.8697628,13.24664146,361.0645985,25.47121289,388.9666191,23.49580974,411.3028762,-470.337666,260.0566359,-516.3302801,199.4196944,-562.1800238,-475.4227503,-521.5611304,-532.7578237,-58.89985968,-1385.313503,535.0194832,-519.980964,617.9773733,-346.8686427,517.5113482,207.4529436,483.0261273,261.1416737
Pact1,actinia,5,17,13,-7.724385539,362.8522331,-18.02491687,347.266408,-16.96557953,316.0966567,18.1667179,313.9865268,26.48550143,336.5721855,18.6916395,352.5526511,-412.398635,301.0053721,-472.9751785,268.5966314,-616.2640033,-376.2962312,-598.6475354,-448.1446115,82.42678459,-1493.947554,572.2480395,-473.5750879,591.9641939,-391.1589709,440.8112496,275.5454613,392.2061078,308.6483296
Pact1,actinia,6,17,12,-16.05586017,392.1881509,-19.70111661,368.2568494,-9.515832222,342.8988876,27.06766292,356.3804526,37.01408566,375.4546298,29.56799221,399.7858095,-558.5396351,184.2119336,-588.0796879,135.3079397,-600.4520344,-358.4539764,-591.3740404,-414.3128736,10.53684787,-1424.586489,583.337495,-406.9825993,603.5982282,-307.7653328,556.2315749,146.5183167,536.3643199,211.0983018
Pact1,actinia,7,17,11,-34.82429553,373.196015,-37.80998187,356.1925115,-36.94790697,316.2752267,13.35133795,310.0794248,15.47109922,340.7330598,10.65483895,362.8061674,-410.5291709,297.7240951,-462.2039202,257.8174023,-650.7205869,-424.827997,-632.4504813,-475.0065323,0.618198291,-1459.041832,617.4657418,-398.3903829,641.548306,-285.9204606,500.6242105,191.2358768,465.752611,237.1274258
Pact1,actinia,8,17,10,-0.098963575,362.5594966,-3.733423574,339.6774634,0.43008679,311.1539874,45.96720356,320.4729139,61.53750621,347.2939746,50.0874772,368.1640914,-518.1835431,224.2486346,-547.1127481,177.0457373,-641.8073677,-401.2594753,-642.8410548,-470.7532954,-83.15214921,-1413.747737,644.2226619,-358.2889669,681.0688104,-276.9784903,504.4901596,210.4482097,449.1253444,259.9634556
Pact1,actinia,9,17,9,15.42756108,361.2312386,2.307194444,343.7908345,8.969151883,315.3801385,54.67636801,305.5527332,71.74126661,336.3252374,55.75959051,357.2586334,-508.7016436,232.8595899,-551.2398942,185.1742564,-660.1847673,-363.6960278,-649.3946177,-427.1594892,19.28564287,-1418.75791,632.3586276,-445.8994478,658.8473527,-352.5267861,455.6547423,263.6766065,394.4934247,306.790393
Pact1,actinia,10,17,8,-15.8125259,408.5155491,-20.14676069,392.2833195,-13.66418973,358.7317033,27.46838808,381.4454507,38.29923586,407.4157543,29.64691463,424.7344389,-597.0573592,159.7883445,-623.0522364,94.86223438,-588.5875844,-420.2963132,-566.9623982,-480.9089006,-39.08093375,-1260.294638,584.5560003,-442.3216975,619.2074114,-381.7273648,606.3904129,142.0820998,558.7956251,215.6900195
